Edgar Emil Kikwilu,656724750,1.23457E+11
David Kikwilu,719965030,7.64235E+11
Jane Muya,713413452,9.07611E+11
Elisifa Daniel,763982244,4.51287E+11
Mchina Excell,876323453,4.51287E+11
Juliana Shayo,764239944,6.51287E+11
John Doe,765212000,4.51289E+11
Erick Mwinuka,786875422,3.51187E+11
Mary Kahuria,654212121,8.81287E+11
Donald Kagunila,712342134,2.51287E+11
Cretus Hot,764235666,7.51287E+11
Irene Paul,766009222,1.11287E+11
RayVann SC,766339222,1.55287E+11
Paul Mandele,766009111,1.11287E+11
John Mandele,786779222,9.91287E+11
David Limo,766009987,1.87287E+11
Diana Kimaro,656019222,1.23287E+11
Nsajigwa Edwin,787009292,7.11287E+11
Calvin Shayo,766009255,9.10287E+11
Maduhu John,763009222,1.00287E+11
