Edgar Emil Kikwilu,656724750,123456789123
David Kikwilu,719965030,764234652377
Jane Muya,713413452,907611236655
Elisifa Daniel,763982244,451287369900
Mchina Excell,876323453,451287369230
Juliana Shayo,764239944,651287369966
John Doe,765212000,451288869905
Erick Mwinuka,786875422,351187361109
Mary Kahuria,654212121,881287369909
Donald Kagunila,712342134,251287369900
Cretus Hot,764235666,751287369977
Irene Paul,766009222,111287369911
RayVann SC,766339222,155287369911
Paul Mandele,766009111,111287369900
John Mandele,786779222,991287369911
David Limo,766009987,187287369911
Diana Kimaro,656019222,123287369911
Nsajigwa Edwin,787009292,711287369934
Calvin Shayo,766009255,910287009943
Maduhu John,763009222,100287369999
