Edgar Emil Kikwilu,656724750,100000
David Kikwilu,719965030,200000
Jane Muya,713413452,300000
Elisifa Daniel,763982244,309288989
Mchina Excell,876323453,209848878
Juliana Shayo,764239944,12923893
John Doe,765212000,131489934
Erick Mwinuka,786875422,3289898989
Mary Kahuria,654212121,75666665
Donald Kagunila,712342134,57575775
Cretus Hot,764235666,430490909
Irene Paul,766009222,400000
RayVann SC,766339222,21423444
Paul Mandele,766009111,43321412
John Mandele,786779222,1243255
David Limo,766009987,3422344
Diana Kimaro,656019222,8000000
Nsajigwa Edwin,787009292,6000000
Calvin Shayo,766009255,3000000
Maduhu John,763009222,12334432
